"Metabolite"	"Concentration"	"Time"	"Growth"
"Ile"	"0 mM"	0	0.002211111
"Ile"	"0 mM"	0.5	0.001977778
"Ile"	"0 mM"	1	0.002411111
"Ile"	"0 mM"	1.5	0.002622222
"Ile"	"0 mM"	2	0.004255556
"Ile"	"0 mM"	2.5	0.003388889
"Ile"	"0 mM"	3	0.004133333
"Ile"	"0 mM"	3.5	0.004655556
"Ile"	"0 mM"	4	0.0056
"Ile"	"0 mM"	4.5	0.006711111
"Ile"	"0 mM"	5	0.007355556
"Ile"	"0 mM"	5.5	0.0089
"Ile"	"0 mM"	6	0.010744444
"Ile"	"0 mM"	6.5	0.012244444
"Ile"	"0 mM"	7	0.015244444
"Ile"	"0 mM"	7.5	0.017711111
"Ile"	"0 mM"	8	0.021133333
"Ile"	"0 mM"	8.5	0.0259
"Ile"	"0 mM"	9	0.031322222
"Ile"	"0 mM"	9.5	0.038288889
"Ile"	"0 mM"	10	0.047122222
"Ile"	"0 mM"	10.5	0.056966667
"Ile"	"0 mM"	11	0.071466667
"Ile"	"0 mM"	11.5	0.099377778
"Ile"	"0 mM"	12	0.138088889
"Ile"	"0 mM"	12.5	0.187266667
"Ile"	"0 mM"	13	0.235144444
"Ile"	"0 mM"	13.5	0.289822222
"Ile"	"0 mM"	14	0.346733333
"Ile"	"0 mM"	14.5	0.402888889
"Ile"	"0 mM"	15	0.465766667
"Ile"	"0 mM"	15.5	0.529877778
"Ile"	"0 mM"	16	0.601022222
"Ile"	"0 mM"	16.5	0.674677778
"Ile"	"0 mM"	17	0.752377778
"Ile"	"0 mM"	17.5	0.823088889
"Ile"	"0 mM"	18	0.882966667
"Ile"	"0 mM"	18.5	0.9299
"Ile"	"0 mM"	19	0.969333333
"Ile"	"0 mM"	19.5	1.002566667
"Ile"	"0 mM"	20	1.026844444
"Ile"	"0 mM"	20.5	1.047888889
"Ile"	"0 mM"	21	1.065444444
"Ile"	"0 mM"	21.5	1.078744444
"Ile"	"0 mM"	22	1.091588889
"Ile"	"0 mM"	22.5	1.099222222
"Ile"	"0 mM"	23	1.1095
"Ile"	"0 mM"	23.5	1.1172
"Ile"	"0 mM"	24	1.123766667
"Ile"	"0 mM"	24.5	1.129966667
"Ile"	"0 mM"	25	1.135822222
"Ile"	"0 mM"	25.5	1.139755556
"Ile"	"0 mM"	26	1.143811111
"Ile"	"0 mM"	26.5	1.147233333
"Ile"	"0 mM"	27	1.151011111
"Ile"	"0 mM"	27.5	1.153055556
"Ile"	"0 mM"	28	1.154322222
"Ile"	"0 mM"	28.5	1.155811111
"Ile"	"0 mM"	29	1.155333333
"Ile"	"0 mM"	29.5	1.153522222
"Ile"	"0 mM"	30	1.151411111
"Ile"	"0 mM"	30.5	1.148088889
"Ile"	"0 mM"	31	1.143811111
"Ile"	"0 mM"	31.5	1.142522222
"Ile"	"0 mM"	32	1.140844444
"Ile"	"0 mM"	32.5	1.141133333
"Ile"	"0 mM"	33	1.142322222
"Ile"	"0 mM"	33.5	1.144466667
"Ile"	"0 mM"	34	1.148222222
"Ile"	"0 mM"	34.5	1.151866667
"Ile"	"0 mM"	35	1.155711111
"Ile"	"0 mM"	35.5	1.158088889
"Ile"	"0 mM"	36	1.160855556
"Ile"	"0 mM"	36.5	1.164311111
