"Strain"	"Dose"	"Time"	"OD"
"aro4Δ"	0	0	-0.0022
"aro4Δ"	0.1	0	-0.000766667
"aro4Δ"	0.3	0	-7e-04
"aro4Δ"	0.6	0	-0.0016
"aro4Δ"	0.9	0	-0.002033333
"aro4Δ"	1.2	0	-0.0026
"aro4Δ"	1.5	0	-0.0033
"WT"	0	0	-0.0025
"WT"	0.1	0	-0.001766667
"WT"	0.3	0	-0.000833333
"WT"	0.6	0	-0.002433333
"WT"	0.9	0	-0.0014
"WT"	1.2	0	-0.001966667
"WT"	1.5	0	-0.0026
"aro4Δ"	0	0.5	-0.000533333
"aro4Δ"	0.1	0.5	0.0016
"aro4Δ"	0.3	0.5	0.000533333
"aro4Δ"	0.6	0.5	8e-04
"aro4Δ"	0.9	0.5	-3.33333e-05
"aro4Δ"	1.2	0.5	-0.000333333
"aro4Δ"	1.5	0.5	-0.000766667
"WT"	0	0.5	0.000633333
"WT"	0.1	0.5	0.002266667
"WT"	0.3	0.5	0.002566667
"WT"	0.6	0.5	-0.000466667
"WT"	0.9	0.5	0.000866667
"WT"	1.2	0.5	6e-04
"WT"	1.5	0.5	0.000866667
"aro4Δ"	0	1	-0.000466667
"aro4Δ"	0.1	1	0.001166667
"aro4Δ"	0.3	1	-0.000133333
"aro4Δ"	0.6	1	-2e-04
"aro4Δ"	0.9	1	-3.33333e-05
"aro4Δ"	1.2	1	-0.000466667
"aro4Δ"	1.5	1	-0.000833333
"WT"	0	1	-3.33333e-05
"WT"	0.1	1	6.66667e-05
"WT"	0.3	1	0.0018
"WT"	0.6	1	-5e-04
"WT"	0.9	1	0.000566667
"WT"	1.2	1	0.000533333
"WT"	1.5	1	-3e-04
"aro4Δ"	0	1.5	-4e-04
"aro4Δ"	0.1	1.5	0.001333333
"aro4Δ"	0.3	1.5	0.000533333
"aro4Δ"	0.6	1.5	0.000266667
"aro4Δ"	0.9	1.5	0.000166667
"aro4Δ"	1.2	1.5	-4e-04
"aro4Δ"	1.5	1.5	-8e-04
"WT"	0	1.5	-0.000166667
"WT"	0.1	1.5	6.66667e-05
"WT"	0.3	1.5	0.002166667
"WT"	0.6	1.5	0
"WT"	0.9	1.5	0.000833333
"WT"	1.2	1.5	0.000933333
"WT"	1.5	1.5	-3.33333e-05
"aro4Δ"	0	2	-0.000566667
"aro4Δ"	0.1	2	0.001766667
"aro4Δ"	0.3	2	0.001233333
"aro4Δ"	0.6	2	0
"aro4Δ"	0.9	2	0.000166667
"aro4Δ"	1.2	2	2e-04
"aro4Δ"	1.5	2	-8e-04
"WT"	0	2	-4e-04
"WT"	0.1	2	0.001433333
"WT"	0.3	2	0.0029
"WT"	0.6	2	0.000233333
"WT"	0.9	2	0.001
"WT"	1.2	2	0.001166667
"WT"	1.5	2	0.000166667
"aro4Δ"	0	2.5	-0.000766667
"aro4Δ"	0.1	2.5	0.001533333
"aro4Δ"	0.3	2.5	0.001633333
"aro4Δ"	0.6	2.5	6e-04
"aro4Δ"	0.9	2.5	-0.000133333
"aro4Δ"	1.2	2.5	0.000533333
"aro4Δ"	1.5	2.5	-0.001033333
"WT"	0	2.5	-4e-04
"WT"	0.1	2.5	0.000966667
"WT"	0.3	2.5	0.0021
"WT"	0.6	2.5	0.000233333
"WT"	0.9	2.5	0.001
"WT"	1.2	2.5	0.001433333
"WT"	1.5	2.5	1e-04
"aro4Δ"	0	3	0.000233333
"aro4Δ"	0.1	3	0.0015
"aro4Δ"	0.3	3	0.001866667
"aro4Δ"	0.6	3	0.000766667
"aro4Δ"	0.9	3	7e-04
"aro4Δ"	1.2	3	0.001033333
"aro4Δ"	1.5	3	-6.66667e-05
"WT"	0	3	0.000733333
"WT"	0.1	3	0.002566667
"WT"	0.3	3	0.003433333
"WT"	0.6	3	0.0015
"WT"	0.9	3	0.002166667
"WT"	1.2	3	0.002333333
"WT"	1.5	3	0.001533333
"aro4Δ"	0	3.5	0.000666667
"aro4Δ"	0.1	3.5	0.001466667
"aro4Δ"	0.3	3.5	0.003633333
"aro4Δ"	0.6	3.5	0.002
"aro4Δ"	0.9	3.5	0.001133333
"aro4Δ"	1.2	3.5	4e-04
"aro4Δ"	1.5	3.5	3.33333e-05
"WT"	0	3.5	0.0018
"WT"	0.1	3.5	0.0018
"WT"	0.3	3.5	0.003933333
"WT"	0.6	3.5	0.002666667
"WT"	0.9	3.5	0.002933333
