"node"	"ppr_score"	"norm_ppr"
"Phe"	0.0153277614652734	0.0873206435694992
"Ala"	0.00831831160401101	0.0145901614651701
"Cys"	0.00691217483303332	0
"Trp"	0.00691217483303332	0
"Val"	0.00747819144353923	0.00587302310109388
"Gly"	0.0177290374732739	0.112236430854407
"Ile"	0.00691217483303332	0
"Thr"	0.00842434258902451	0.0156903454754227
"Pro"	0.0863652515170395	0.824410001680117
"Orn"	0.0127257207532242	0.0603217093894713
"Tyr"	0.030077614926654	0.240366028649295
"Ser"	0.0293780415348149	0.233107212185394
"Glu"	0.0938153594212081	0.901712778691759
"Asp"	0.103287857469202	1
"Asn"	0.102596563961013	0.992827096117199
"HO.Lys"	0.0730050424708443	0.685783652369246
"Lys"	0.0917900526868222	0.880698071672441
"Arg"	0.0799623788392396	0.757973401672087
"b.Ala"	0.0460811655535555	0.40641985248904
"Cit"	0.0482444240402339	0.428865955359668
"Gln"	0.0598784910303717	0.549581748720717
"His"	0.0460811655535555	0.40641985248904
"Cystine"	0.0092003335576146	0.0237420754073348
"Leu"	0.00949636761038498	0.0268137429138358
