Batch,Condition,AUC
1,Iso.4mM,19.534125
1,Iso.8mM,7.55355
1,Phe.4mM,21.5171
1,Phe.4mM...Iso.4mM,2.5421
1,Phe.4mM..Thr.4mM,-0.04775
1,Phe.8mM,7.42595
1,Thr.4mM,25.1044
1,Thr.4mM...Iso.4mM,3.71775
1,Thr.8mM,9.868625
1,WT,27.498025
2,Iso.4mM,20.365975
2,Iso.8mM,7.37705
2,Phe.4mM,24.193175
2,Phe.4mM...Iso.4mM,0.51805
2,Phe.4mM..Thr.4mM,-0.05675
2,Phe.8mM,3.0265
2,Thr.4mM,22.578075
2,Thr.4mM...Iso.4mM,9.062125
2,Thr.8mM,16.017625
2,WT,22.52575
3,Iso.4mM,22.943575
3,Iso.8mM,6.607225
3,Phe.4mM,21.938075
3,Phe.4mM...Iso.4mM,2.526875
3,Phe.4mM..Thr.4mM,-0.0069
3,Phe.8mM,3.8914
3,Thr.4mM,28.063325
3,Thr.4mM...Iso.4mM,3.894425
3,Thr.8mM,15.815475
3,WT,23.724925
4,Iso.4mM,19.051275
4,Iso.8mM,4.336575
4,Phe.4mM,25.997225
4,Phe.4mM...Iso.4mM,0.8841
4,Phe.4mM..Thr.4mM,-0.09555
4,Phe.8mM,8.84005
4,Thr.4mM,16.022025
4,Thr.4mM...Iso.4mM,4.77875
4,Thr.8mM,11.4502
4,WT,22.036725
